iter	Logloss
0	0.6869186183
1	0.6801572273
2	0.6748990082
3	0.6714679364
4	0.6654571736
5	0.6588491456
6	0.6529808365
7	0.6475715913
8	0.6431405064
9	0.6373118194
10	0.631858975
11	0.6270212853
12	0.6239628987
13	0.6191932088
14	0.6143246197
15	0.6106994556
16	0.6054060074
17	0.6004850873
18	0.596875039
19	0.5929275639
20	0.5882702332
21	0.584017495
22	0.5801277644
23	0.5759566672
24	0.5724977063
25	0.5680898169
26	0.5644767455
27	0.5608824353
28	0.5573612148
29	0.5542446326
30	0.5509732792
31	0.5480183581
32	0.5461106974
33	0.5437065528
34	0.5406570957
35	0.5378982439
36	0.5358273396
37	0.5335731376
38	0.5304774418
39	0.5287742382
40	0.5256876008
41	0.5221448031
42	0.5191962966
43	0.5166314631
44	0.5138849814
45	0.510910867
46	0.5085497418
47	0.5062552842
48	0.5039822381
49	0.5016837603
50	0.4993528472
51	0.4974241785
52	0.4947254953
53	0.4926625401
54	0.4905062359
55	0.4888454508
56	0.4866548568
57	0.485110412
58	0.483230422
59	0.4811782508
60	0.479027056
61	0.476819751
62	0.475259863
63	0.4737406429
64	0.4715980367
65	0.4699662766
66	0.4685121162
67	0.4668178173
68	0.464978243
69	0.4632573428
70	0.4616007233
71	0.4606226102
72	0.4591419767
73	0.457654269
74	0.4561270523
75	0.4552305452
76	0.454022364
77	0.452603167
78	0.4519649287
79	0.4504919487
80	0.4490422557
81	0.4481323604
82	0.4468218719
83	0.4452540621
84	0.4437123225
85	0.4432019795
86	0.4423524444
87	0.4413650325
88	0.4403544931
89	0.4393264391
90	0.4379835809
91	0.4367981005
92	0.4359593202
93	0.4347540809
94	0.433726383
95	0.4328694234
96	0.431884922
97	0.430896534
98	0.4299140685
99	0.4288367202
100	0.4280416675
101	0.4266716906
102	0.4253171683
103	0.4244592895
104	0.4237483787
105	0.4230034664
106	0.4220948866
107	0.4212510113
108	0.4204605727
109	0.4201121008
110	0.4192444187
111	0.4183119478
112	0.4177903165
113	0.4168800928
114	0.4159522918
115	0.4150906777
116	0.4144326115
117	0.4140054252
118	0.4130545664
119	0.4123825937
120	0.4117553533
121	0.4110497511
122	0.4103452987
123	0.4095747253
124	0.4091344533
125	0.4082205655
126	0.4077951751
127	0.4070200814
128	0.406731129
129	0.4065365023
130	0.4058858733
131	0.4051923098
132	0.4044378684
133	0.4042596262
134	0.4036871583
135	0.4028955452
136	0.4022078274
137	0.4019027956
138	0.4011810519
139	0.4010239237
140	0.4002453031
141	0.3996586848
142	0.3990950743
143	0.3985586432
144	0.398081067
145	0.3974816619
146	0.397032895
147	0.3968714278
148	0.3962624055
149	0.3959247192
150	0.3951775651
151	0.3948308923
152	0.3944487584
153	0.3940548826
154	0.3934249054
155	0.3929654373
156	0.3924852093
157	0.3919022795
158	0.3915565179
159	0.3909193173
160	0.3903887414
161	0.3902306428
162	0.3897988234
163	0.3896273917
164	0.3890363203
165	0.3888103398
166	0.388400153
167	0.3880519877
168	0.3877883106
169	0.3872962434
170	0.3868907162
171	0.3864885711
172	0.3862318178
173	0.3857458318
174	0.3855731519
175	0.3851521783
176	0.3847628677
177	0.3844163377
178	0.3840266671
179	0.3836436366
180	0.3831648299
181	0.3828440665
182	0.382390136
183	0.3820545688
184	0.3817530338
185	0.3813658154
186	0.3810072565
187	0.3807472531
188	0.3802659737
189	0.3800391135
190	0.3796437
191	0.379291645
192	0.3786754471
193	0.3782645336
194	0.3778681467
195	0.3775386275
196	0.3770255378
197	0.3768487564
198	0.3763613728
199	0.3761211843
200	0.376071198
201	0.3757193685
202	0.3754546621
203	0.3750893839
204	0.374787484
205	0.374426612
206	0.3741689206
207	0.3740664131
208	0.3738700679
209	0.3736363659
210	0.3733527337
211	0.3731618267
212	0.3727958424
213	0.3724825749
214	0.3721986238
215	0.3719369377
216	0.3716918614
217	0.371404575
218	0.3710788124
219	0.3707597991
220	0.3704511937
221	0.3702195886
222	0.3700852306
223	0.3697656331
224	0.3695514671
225	0.3690671605
226	0.3687805127
227	0.3683528359
228	0.3682766685
229	0.3679981041
230	0.3676842386
231	0.3673235587
232	0.3670640161
233	0.3667284752
234	0.366518527
235	0.3662275378
236	0.3659275581
237	0.3657896059
238	0.365660504
239	0.3654267535
240	0.3651259284
241	0.3649096028
242	0.3647713913
243	0.3646530147
244	0.3645075358
245	0.3640299111
246	0.363805374
247	0.3635732374
248	0.3632081702
249	0.3630076691
250	0.362900522
251	0.3627189531
252	0.3625166548
253	0.3624577714
254	0.3622403397
255	0.3620396465
256	0.3618385561
257	0.3615932683
258	0.3615060042
259	0.3612917632
260	0.361205641
261	0.3609117082
262	0.3608345137
263	0.36056238
264	0.3602594351
265	0.3600696562
266	0.3599540771
267	0.3596437569
268	0.3593964752
269	0.3592412556
270	0.3590966358
271	0.3589078926
272	0.3587021317
273	0.3585397144
274	0.3584126282
275	0.3581076971
276	0.3578317702
277	0.3576021891
278	0.3573402534
279	0.3572945434
280	0.3570552489
281	0.3569184964
282	0.3567821892
283	0.3567334246
284	0.3564245748
285	0.3563428413
286	0.35618187
287	0.3559101132
288	0.3557529352
289	0.355577177
290	0.3553644566
291	0.3552343754
292	0.3551191583
293	0.3549229014
294	0.3546164467
295	0.3543919096
296	0.3542524028
297	0.3540324669
298	0.3538820421
299	0.3537164935
300	0.3536728999
301	0.3535704814
302	0.35329667
303	0.3531506496
304	0.3529887329
305	0.3528232112
306	0.3525415526
307	0.3523811849
308	0.3520695124
309	0.3518906592
310	0.3517444738
311	0.3516358368
312	0.3514843561
313	0.3512174607
314	0.3508811924
315	0.350759419
316	0.3506249541
317	0.3503978771
318	0.3502945545
319	0.3500260491
320	0.3498357475
321	0.3497168994
322	0.3496281661
323	0.3494215352
324	0.3493079135
325	0.3491771724
326	0.3491051044
327	0.3489030487
328	0.3487695617
329	0.3485671451
330	0.3483782939
331	0.3482249317
332	0.3480751039
333	0.3478427864
334	0.3477871977
335	0.3475106158
336	0.3472941219
337	0.3471789038
338	0.3470491212
339	0.3469069857
340	0.3468452278
341	0.3467066514
342	0.3465690092
343	0.3464575857
344	0.3462100651
345	0.3460886731
346	0.3458349962
347	0.3456927012
348	0.3455961603
349	0.345429141
350	0.3452175432
351	0.3450702733
352	0.3448647602
353	0.3447965284
354	0.3445199385
355	0.3442985217
356	0.3441890439
357	0.3440866158
358	0.3440016419
359	0.3438333724
360	0.3437753696
361	0.3436610689
362	0.3435437839
363	0.3432758046
364	0.3431894693
365	0.3430506712
366	0.3428445142
367	0.3426510117
368	0.3425875738
369	0.3423104544
370	0.3419400765
